project_key,source_row_number,mp_name,mp_name_canonical,mp_key,work_raw,work_clean,work_key,category,state,state_key,constituency,constituency_key,ida,ida_key,city,ward,block,village,locality,locality_key,recommended_date,allocation_amount,ida_approval,status,house,duplicate_group_key,exact_duplicate_group_count,is_exact_duplicate_candidate,data_quality_flags,source_dataset,allocation_amount_numeric,category_key,block_key,duplicate_location,duplicate_location_key,recommended_month,recommended_year,mp_allocated_amount,project_amount_as_pct_of_mp_allocation,mp_project_count,mp_total_recommended_amount,ida_project_count,ida_total_recommended_amount,state_project_count,state_total_recommended_amount,constituency_project_count,constituency_total_recommended_amount,mp_remaining_estimated_allocation,same_work_same_locality_count,same_work_same_duplicate_location_count,same_work_same_block_count,same_work_same_constituency_count,same_category_same_locality_count,same_category_same_block_count,same_category_same_constituency_count,same_mp_category_locality_count,same_ida_category_locality_count,same_type_location_month_count,same_mp_same_work_count,same_ida_same_work_count,same_mp_same_day_count,same_ida_same_day_count,same_work_same_day_count,locality_project_count,duplicate_location_project_count,location_duplicate_group_count,same_ida_locality_7day_sub5l_count,same_mp_locality_7day_sub5l_count,category_median_amount,state_category_median_amount,constituency_category_median_amount,amount_vs_category_median_ratio,amount_vs_state_category_median_ratio,amount_vs_constituency_category_median_ratio,missing_locality_flag,status_unsanctioned_flag,ida_pending_flag,is_sub_5_lakh,is_near_5_lakh,is_high_value_project,possible_text_duplicate,possible_type_location_duplicate,possible_cost_outlier,possible_split_sanction,possible_pending_risk,duplicate_risk_score,cost_risk_score,split_sanction_risk_score,pending_risk_score,risk_score_rule_based,risk_level_rule_based,weak_label_duplicate,weak_label_cost_outlier,weak_label_split_sanction,weak_label_pending,weak_label_any_risk,isolation_forest_raw_score,isolation_forest_risk_score,isolation_forest_anomaly_flag,model_duplicate_score,model_financial_rule_score,model_financial_isolation_score,model_financial_score,model_split_sanction_score,model_pending_score,model_risk_score,model_risk_level,model_reasons,mock_case_type,expected_risk_level,minimum_expected_risk_level,expected_reason
MOCK-NORMAL-001,1,Smt Seema Dwivedi,Seema Dwivedi,seema_dwivedi,WS/MP202/2023-2024/40681 - Improvement of electricity distribution infrastructure,Improvement of electricity distribution infrastructure,improvement_of_electricity_distribution_infrastructure,Normal/Others,Uttar Pradesh,uttar_pradesh,SITTING RAJYA SABHA,sitting_rajya_sabha,DISTRICT MAGISTRATE JAUNPUR_IDA,district_magistrate_jaunpur_ida,,,Maharaj Ganj,Uday Bhanpur,"Maharaj Ganj, Uday Bhanpur",maharaj_ganj_uday_bhanpur,2023-10-26,131000,Approved by IDA,Unsanctioned,Rajya Sabha,6a220101b6c2026c,1,false,,MOCK_VALIDATION,131000,normal_others,maharaj_ganj,Uday Bhanpur,uday_bhanpur,2023-10,2023,173830159.11,0.0008,57,36135287,234,158069158,5313,2961624043,10723,8317795158,137694872.11,1,1,1,77,1,2,10562,1,1,1,9,9,3,3,3,1,1,1,1,1,400000.0,224500.0,490000.0,0.3275,0.5835,0.2673,false,true,false,true,false,false,false,false,false,false,false,19,0.0,0,0,6.65,GREEN,false,false,false,false,false,-0.211664,54.68,False,12,0,0.0,0.0,0,0,3.6,GREEN,No trained baseline threshold crossed,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-002,2,Ramesh Chander Kaushik,Ramesh Chander Kaushik,ramesh_chander_kaushik,WS/MP592/2023-2024/15264 - Setting up public non-conventional energy plants,Setting up public non-conventional energy plants,setting_up_public_non_conventional_energy_plants,Normal/Others,Haryana,haryana,SONEPAT,sonepat,Deputy Commissioner Jind_IDA,deputy_commissioner_jind_ida,,,Jind,Ahirka (83),"Jind, Ahirka (83)",jind_ahirka_83,2023-09-02,392564,Approved by IDA,Unsanctioned,Lok Sabha,7d16551044698e4c,1,false,,MOCK_VALIDATION,392564,normal_others,jind,Ahirka (83),ahirka_83,2023-09,2023,0.0,0.0,131,80726721,146,68955825,1519,825501755,131,80726721,-80726721.0,1,1,3,61,1,12,122,1,1,1,61,23,57,24,55,1,1,1,1,1,400000.0,500000.0,392564.0,0.9814,0.7851,1.0,false,true,false,true,false,false,false,false,false,false,false,27,0.0,0,0,9.45,GREEN,false,false,false,false,false,-0.256127,0.31,False,20,0,0.0,0.0,0,0,6.0,GREEN,No trained baseline threshold crossed,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-003,4,Chunni lal Sahu,Chunni Lal Sahu,chunni_lal_sahu,NA - Construction of common work sheds/ common covered sitting area,Construction of common work sheds/ common covered sitting area,construction_of_common_work_sheds_common_covered_sitting_area,Normal/Others,Chhattisgarh,chhattisgarh,MAHASAMUND,mahasamund,DISTRICT COLLECTOR MAHASAMUND_IDA,district_collector_mahasamund_ida,,,Pithora,Gadbeda,"Pithora, Gadbeda",pithora_gadbeda,2023-12-21,500000,Action Pending,Unsanctioned,Lok Sabha,beb9ac4dcb44ed0f,1,false,,MOCK_VALIDATION,500000,normal_others,pithora,Gadbeda,gadbeda,2023-12,2023,0.0,0.0,76,41229533,45,24680000,1269,652370972,76,41229533,-41229533.0,1,1,1,6,1,11,76,1,1,1,6,3,21,12,17,1,1,1,0,0,400000.0,500000.0,500000.0,1.25,1.0,1.0,false,true,true,false,true,false,false,false,false,false,true,27,0.0,0,35,12.95,GREEN,false,false,false,true,false,-0.253148,4.33,False,20,0,0.0,0.0,20,45,15.5,GREEN,Project is unsanctioned with action pending,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-004,5,SHRI CM Ramesh,Cm Ramesh,cm_ramesh,WS/MP023/2023-2024/16174 - Installing community drinking water plants,Installing community drinking water plants,installing_community_drinking_water_plants,Normal/Others,Andhra Pradesh,andhra_pradesh,SITTING RAJYA SABHA,sitting_rajya_sabha,DISTRICT COLLECTOR CUDDAPAH_IDA,district_collector_cuddapah_ida,,,Peddamudium,Balapana Gudur,"Peddamudium, Balapana Gudur",peddamudium_balapana_gudur,2023-09-04,225000,Approved by IDA,Unsanctioned,Rajya Sabha,100a72aa9f88e175,1,false,,MOCK_VALIDATION,225000,normal_others,peddamudium,Balapana Gudur,balapana_gudur,2023-09,2023,0.0,0.0,98,101748356,169,225247356,3131,2344937649,10723,8317795158,-101748356.0,1,1,2,220,1,2,10562,1,1,1,47,47,24,19,26,1,1,1,1,1,400000.0,500000.0,490000.0,0.5625,0.45,0.4592,false,true,false,true,false,false,false,false,false,false,false,19,0.0,0,0,6.65,GREEN,false,false,false,false,false,-0.222334,46.11,False,12,0,0.0,0.0,0,0,3.6,GREEN,No trained baseline threshold crossed,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-005,9,Ramesh Chandappa Jigajinagi,Ramesh Chandappa Jigajinagi,ramesh_chandappa_jigajinagi,NA - Construction of rooms and halls in school and colleges,Construction of rooms and halls in school and colleges,construction_of_rooms_and_halls_in_school_and_colleges,Normal/Others,Karnataka,karnataka,BIJAPUR(SC),bijapur_sc,DEPUTY COMMISSIONER BIJAPUR_IDA,deputy_commissioner_bijapur_ida,,,Indi,Sangogi,"Indi, Sangogi",indi_sangogi,2024-01-14,250000,Action Pending,Unsanctioned,Lok Sabha,5b09a368dcd3d78e,1,false,,MOCK_VALIDATION,250000,normal_others,indi,Sangogi,sangogi,2024-01,2024,269500000.0,0.0009,325,86570000,325,86570000,3121,1670831193,325,86570000,182930000.0,1,1,10,80,1,49,325,1,1,1,80,80,5,5,5,1,1,1,1,1,400000.0,500000.0,250000.0,0.625,0.5,1.0,false,true,true,true,false,false,false,false,false,false,true,27,0.0,0,35,12.95,GREEN,false,false,false,true,false,-0.215002,52.23,False,20,0,0.0,0.0,0,45,10.5,GREEN,Project is unsanctioned with action pending,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-006,10,Chaudhary Mehboob Ali Kaiser,Chaudhary Mehboob Ali Kaiser,chaudhary_mehboob_ali_kaiser,WS/MP542/2023-2024/15099 - Lighting of public spaces,Lighting of public spaces,lighting_of_public_spaces,Normal/Others,Bihar,bihar,KHAGARIA,khagaria,DISTRICT PLANNING OFFICER KHAGARIA_IDA,district_planning_officer_khagaria_ida,Khagaria,5,,,"Khagaria, 5",khagaria_5,2023-09-02,210000,Approved by IDA,Unsanctioned,Lok Sabha,2f90de1eebd261f6,1,false,,MOCK_VALIDATION,210000,normal_others,,Khagaria,khagaria_5,2023-09,2023,0.0,0.0,71,26979604,63,24839604,4575,3315478980,71,26979604,-26979604.0,1,1,0,50,1,0,71,1,1,1,50,47,10,10,9,1,1,1,1,1,400000.0,500000.0,210000.0,0.525,0.42,1.0,false,true,false,true,false,false,false,false,false,false,false,17,0.0,0,0,5.95,GREEN,false,false,false,false,false,-0.249354,11.23,False,10,0,0.0,0.0,0,0,3.0,GREEN,No trained baseline threshold crossed,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-007,12,Upendra Singh Rawat,Upendra Singh Rawat,upendra_singh_rawat,WS/MP811/2023-2024/28130 - Lighting of public spaces,Lighting of public spaces,lighting_of_public_spaces,Normal/Others,Uttar Pradesh,uttar_pradesh,BARABANKI(SC),barabanki_sc,DISTRICT MAGISTRATE BARABANKI_IDA,district_magistrate_barabanki_ida,,,Suratganj,Jeoli,"Suratganj, Jeoli",suratganj_jeoli,2023-09-28,20000,Approved by IDA,Sanctioned,Lok Sabha,0b75810ff1abbaca,1,false,,MOCK_VALIDATION,20000,normal_others,suratganj,Jeoli,jeoli,2023-09,2023,0.0,0.0,345,11340000,348,13640000,5313,2961624043,345,11340000,-11340000.0,1,1,55,344,2,55,345,1,1,1,344,344,89,89,96,1,2,1,1,1,400000.0,224500.0,20000.0,0.05,0.0891,1.0,false,false,false,true,false,false,false,false,false,false,false,29,0.0,0,0,10.15,GREEN,false,false,false,false,false,-0.148352,81.29,False,22,0,0.0,0.0,0,0,6.6,GREEN,No trained baseline threshold crossed,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-008,13,Shri Bhartruhari Mahtab,Bhartruhari Mahtab,bhartruhari_mahtab,NA - Construction of buildings for community cultural activities,Construction of buildings for community cultural activities,construction_of_buildings_for_community_cultural_activities,Normal/Others,Odisha,odisha,CUTTACK,cuttack,DISTRICT COLLECTOR CUTTACK_IDA,district_collector_cuttack_ida,,,Athagad,Khuntakata,"Athagad, Khuntakata",athagad_khuntakata,2024-01-06,300000,Action Pending,Unsanctioned,Lok Sabha,8969440b8ef512d7,1,false,,MOCK_VALIDATION,300000,normal_others,athagad,Khuntakata,khuntakata,2024-01,2024,147000000.0,0.002,18,4800000,125,53600000,3844,1383253124,18,4800000,142200000.0,1,1,1,13,1,4,18,1,1,1,13,16,5,5,6,1,1,1,1,1,400000.0,250000.0,225000.0,0.75,1.2,1.3333,false,true,true,true,false,false,false,false,false,false,true,21,1.67,0,35,11.43,GREEN,false,false,false,true,false,-0.241637,26.58,False,14,0,0.0,0.0,0,45,8.7,GREEN,Project is unsanctioned with action pending,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-009,14,Smt Sangeeta Kumari Singh Deo,Sangeeta Kumari Singh Deo,sangeeta_kumari_singh_deo,WS/MP373/2023-2024/22118 - Construction of community centers and community halls,Construction of community centers and community halls,construction_of_community_centers_and_community_halls,Normal/Others,Odisha,odisha,BOLANGIR,bolangir,DISTRICT COLLECTOR BOLANGIR_IDA,district_collector_bolangir_ida,,,Muribahal,Kandakhal,"Muribahal, Kandakhal",muribahal_kandakhal,2023-09-17,200000,Approved by IDA,Unsanctioned,Lok Sabha,31317fcc51b56433,1,false,,MOCK_VALIDATION,200000,normal_others,muribahal,Kandakhal,kandakhal,2023-09,2023,147000000.0,0.0014,437,95985000,445,114735000,3844,1383253124,437,95985000,51015000.0,1,1,26,385,1,33,437,1,1,1,385,309,67,67,68,1,1,1,1,1,400000.0,250000.0,200000.0,0.5,0.8,1.0,false,true,false,true,false,false,false,false,false,false,false,27,0.0,0,0,9.45,GREEN,false,false,false,false,false,-0.176869,72.34,False,20,0,0.0,0.0,0,0,6.0,GREEN,No trained baseline threshold crossed,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-010,16,Topon Kumar Gogoi,Topon Kumar Gogoi,topon_kumar_gogoi,WS/MP496/2023-2024/21374 - Construction of buildings for community cultural activities,Construction of buildings for community cultural activities,construction_of_buildings_for_community_cultural_activities,Normal/Others,Assam,assam,JORHAT,jorhat,Deputy Commissioner Sivsagar_IDA,deputy_commissioner_sivsagar_ida,,,Nazira,Pohuchungi Deodhai,"Nazira, Pohuchungi Deodhai",nazira_pohuchungi_deodhai,2023-09-16,250000,Approved by IDA,Unsanctioned,Lok Sabha,1c7e1c077647e80e,1,false,,MOCK_VALIDATION,250000,normal_others,nazira,Pohuchungi Deodhai,pohuchungi_deodhai,2023-09,2023,0.0,0.0,142,78750000,52,31050000,1399,777526830,142,78750000,-78750000.0,1,1,9,48,1,15,142,1,1,1,48,21,57,24,22,1,1,1,1,1,400000.0,350000.0,500000.0,0.625,0.7143,0.5,false,true,false,true,false,false,false,false,false,false,false,27,0.0,0,0,9.45,GREEN,false,false,false,false,false,-0.25143,7.11,False,20,0,0.0,0.0,0,0,6.0,GREEN,No trained baseline threshold crossed,normal,GREEN,GREEN,No planted anomaly
